source	 target	 type
Kommunaludvalget	Jan E. Jørgensen	suit
Kommunaludvalget	Anne Sina	suit
Kommunaludvalget	Rosa Lund	suit
Uddannelses- og Forskningsudvalget	Bertel Haarder	suit
Uddannelses- og Forskningsudvalget	Anne-Mette Winther Christiansen	suit
Uddannelses- og Forskningsudvalget	Esben Lunde Larsen	suit
Uddannelses- og Forskningsudvalget	Rasmus Prehn	suit
Uddannelses- og Forskningsudvalget	Kristian Jensen	suit
Uddannelses- og Forskningsudvalget	Ole Hækkerup	suit
Uddannelses- og Forskningsudvalget	Alex Ahrendtsen	suit
Uddannelses- og Forskningsudvalget	Lene Espersen	suit
Uddannelses- og Forskningsudvalget	Tina Nedergaard	suit
Uddannelses- og Forskningsudvalget	Villum Christensen	suit
Uddannelses- og Forskningsudvalget	Liv Holm Andersen	suit
Uddannelses- og Forskningsudvalget	Annette Vilhelmsen	suit
Uddannelses- og Forskningsudvalget	Pernille Vigsø Bagge	suit
Uddannelses- og Forskningsudvalget	Pernille Skipper	suit
Uddannelses- og Forskningsudvalget	Karen Ellemann	suit
Uddannelses- og Forskningsudvalget	Merete Riisager	suit
Uddannelses- og Forskningsudvalget	Mette Reissmann	suit
Uddannelses- og Forskningsudvalget	Jeppe Mikkelsen	suit
Uddannelses- og Forskningsudvalget	Jonas Dahl	suit
Uddannelses- og Forskningsudvalget	Marie Krarup	suit
Uddannelses- og Forskningsudvalget	Christian Langballe	suit
Uddannelses- og Forskningsudvalget	Simon Kollerup	suit
Uddannelses- og Forskningsudvalget	Mads Rørvig	suit
Uddannelses- og Forskningsudvalget	Jeppe Bruus	suit
Uddannelses- og Forskningsudvalget	Jesper Petersen	suit
Uddannelses- og Forskningsudvalget	Rosa Lund	suit
Uddannelses- og Forskningsudvalget	Lotte Rod	suit
Uddannelses- og Forskningsudvalget	Jens Henrik Thulesen Dahl	suit
Uddannelses- og Forskningsudvalget	Trine Bramsen	suit
Udvalget for Forretningsordenen	Flemming Damgaard Larsen	suit
Udvalget for Forretningsordenen	Torben Hansen	suit
Udvalget for Forretningsordenen	Søren Espersen	suit
Udvalget for Forretningsordenen	John Dyrby Paulsen	suit
Udvalget for Forretningsordenen	Bertel Haarder	suit
